id,provider_customer_id,vehicle_number,vehicle_type,vehicle_model,vehicle_color,vehicle_fuel_type,vehicle_transmission,vehicle_variant,vehicle_make_year,vehicle_mileage,vehicle_insurance_details,vehicle_engine_number,vehicle_chassis_number,vehicle_registration_number,vehicle_fuel_level,personal_belongings,is_deleted,created_at,updated_at
550e8400-e29b-41d4-a723-446655440001,550e8400-e29b-41d4-a723-446655440000,MH01AB1234,Sedan,Swift,White,Petrol,Manual,Swift 1.2,2020,25000,"{""policy_number"":""POL123456"",""provider"":""ICICI Lombard"",""valid_till"":""2024-12-31""}",ENG123456,CHS123456,MH01AB1234,75,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440002,550e8400-e29b-41d4-a724-446655440000,MH02CD5678,SUV,Creta,Black,Diesel,Automatic,Creta 1.5,2021,15000,"{""policy_number"":""POL234567"",""provider"":""HDFC Ergo"",""valid_till"":""2024-12-31""}",ENG234567,CHS234567,MH02CD5678,60,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440003,550e8400-e29b-41d4-a725-446655440000,MH03EF9012,Hatchback,i20,Silver,Petrol,Manual,i20 1.2,2019,35000,"{""policy_number"":""POL345678"",""provider"":""Bajaj Allianz"",""valid_till"":""2024-12-31""}",ENG345678,CHS345678,MH03EF9012,85,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440004,550e8400-e29b-41d4-a726-446655440000,MH04GH3456,SUV,Nexon,Blue,Electric,Automatic,Nexon EV,2022,8000,"{""policy_number"":""POL456789"",""provider"":""Tata AIG"",""valid_till"":""2024-12-31""}",ENG456789,CHS456789,MH04GH3456,90,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440005,550e8400-e29b-41d4-a727-446655440000,MH05IJ7890,Sedan,City,Red,Petrol,CVT,City 1.5,2021,20000,"{""policy_number"":""POL567890"",""provider"":""Reliance General"",""valid_till"":""2024-12-31""}",ENG567890,CHS567890,MH05IJ7890,70,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440006,550e8400-e29b-41d4-a723-446655440000,MH06KL1234,SUV,XUV700,Black,Diesel,Automatic,XUV700 2.0,2022,12000,"{""policy_number"":""POL678901"",""provider"":""ICICI Lombard"",""valid_till"":""2024-12-31""}",ENG678901,CHS678901,MH06KL1234,65,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440007,550e8400-e29b-41d4-a724-446655440000,MH07MN5678,Sedan,Verna,White,Petrol,DCT,Verna 1.5,2023,5000,"{""policy_number"":""POL789012"",""provider"":""HDFC Ergo"",""valid_till"":""2024-12-31""}",ENG789012,CHS789012,MH07MN5678,80,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440008,550e8400-e29b-41d4-a725-446655440000,MH08OP9012,Hatchback,Baleno,Grey,Petrol,AMT,Baleno 1.2,2020,28000,"{""policy_number"":""POL890123"",""provider"":""Bajaj Allianz"",""valid_till"":""2024-12-31""}",ENG890123,CHS890123,MH08OP9012,75,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440009,550e8400-e29b-41d4-a726-446655440000,MH09QR3456,SUV,Harrier,Blue,Diesel,Manual,Harrier 2.0,2021,18000,"{""policy_number"":""POL901234"",""provider"":""Tata AIG"",""valid_till"":""2024-12-31""}",ENG901234,CHS901234,MH09QR3456,85,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z
550e8400-e29b-41d4-a723-446655440010,550e8400-e29b-41d4-a727-446655440000,MH10ST7890,Sedan,Ciaz,Silver,Petrol,Manual,Ciaz 1.5,2019,32000,"{""policy_number"":""POL012345"",""provider"":""Reliance General"",""valid_till"":""2024-12-31""}",ENG012345,CHS012345,MH10ST7890,70,"[]",false,2024-03-20T10:00:00.000Z,2024-03-20T10:00:00.000Z 