id,subscription_plan_id,module_id
550e8400-e29b-41d4-a716-446655440300,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440000
550e8400-e29b-41d4-a716-446655440301,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440001
550e8400-e29b-41d4-a716-446655440302,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655440303,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655440304,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440004
550e8400-e29b-41d4-a716-446655440305,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440005
550e8400-e29b-41d4-a716-446655440306,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655440307,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655440308,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655440309,550e8400-e29b-41d4-a716-446655440200,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655440310,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440000
550e8400-e29b-41d4-a716-446655440311,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440001
550e8400-e29b-41d4-a716-446655440312,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655440313,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655440314,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440005
550e8400-e29b-41d4-a716-446655440315,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655440316,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655440317,550e8400-e29b-41d4-a716-446655440201,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655440318,550e8400-e29b-41d4-a716-446655440202,550e8400-e29b-41d4-a716-446655440004
550e8400-e29b-41d4-a716-446655440319,550e8400-e29b-41d4-a716-446655440203,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655440320,550e8400-e29b-41d4-a716-446655440204,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655440321,550e8400-e29b-41d4-a716-446655440204,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655440322,550e8400-e29b-41d4-a716-446655440204,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655440323,550e8400-e29b-41d4-a716-446655440204,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655440324,550e8400-e29b-41d4-a716-446655440204,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655440325,550e8400-e29b-41d4-a716-446655440205,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655440326,550e8400-e29b-41d4-a716-446655440205,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655440327,550e8400-e29b-41d4-a716-446655440205,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655440328,550e8400-e29b-41d4-a716-446655440205,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655440329,550e8400-e29b-41d4-a716-446655440205,550e8400-e29b-41d4-a716-446655440006